change_type,original_text,revised_text,issue_tags,reviewer_summary,label,assessment_label_id,issue_multihot,model_input
modified,"The University President oversees the System operation. The PRAISE Committee establishes internal procedures and strategies for rewards and recognition. The Search Committee/Director, HRM searches, screens and collects a list from each office for deserving employees who qualify for nomination. The Performance Management Team identifies potential PRAISE award nominees for various award categories. The PRAISE Committee determines top performers of the university who qualify for awards and incentives. The University President rewards the deserving employee.",The office handles the award process as appropriate.,ambiguous_language,Manual-derived synthetic example targeting ambiguous_language.,1,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The University President oversees the System operation. The PRAISE Committee establishes internal procedures and strategies for rewards and recognition. The Search Committee/Director, HRM searches, screens and collects a list from each office for deserving employees who qualify for nomination. The Performance Management Team identifies potential PRAISE award nominees for various award categories. The PRAISE Committee determines top performers of the university who qualify for awards and incentives. The University President rewards the deserving employee.

[REVISED TEXT]
The office handles the award process as appropriate."
modified,"The appointing authority may promote an employee who is next in rank but who possesses superior qualifications and competence compared to a next in rank employee who merely meets the minimum requirements for the position. Factors for promotion for Non-Teaching Staff include Educational Qualifications, Competence, Personality Traits and Potential, Relevant Experience, Relevant Trainings and Special Skills.",The appointing authority may promote qualified employees as appropriate.,ambiguous_language,Manual-derived synthetic example targeting ambiguous_language.,1,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The appointing authority may promote an employee who is next in rank but who possesses superior qualifications and competence compared to a next in rank employee who merely meets the minimum requirements for the position. Factors for promotion for Non-Teaching Staff include Educational Qualifications, Competence, Personality Traits and Potential, Relevant Experience, Relevant Trainings and Special Skills.

[REVISED TEXT]
The appointing authority may promote qualified employees as appropriate."
modified,"A portion of the total faculty and staff shall be sent for a scholarship/fellowship every school year except in very rare cases wherein the total number faculty and staff scholars may exceed from what is allowed within a year. In such cases, the University President shall exercise discretion to allow other applicant to go on study leave provided the applicant submit certifications that the degrees to be pursued are direly needed by the university to be issued by the Unit Chair.",Eligible staff may be sent for scholarship when necessary.,ambiguous_language,Manual-derived synthetic example targeting ambiguous_language.,1,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
A portion of the total faculty and staff shall be sent for a scholarship/fellowship every school year except in very rare cases wherein the total number faculty and staff scholars may exceed from what is allowed within a year. In such cases, the University President shall exercise discretion to allow other applicant to go on study leave provided the applicant submit certifications that the degrees to be pursued are direly needed by the university to be issued by the Unit Chair.

[REVISED TEXT]
Eligible staff may be sent for scholarship when necessary."
modified,"The Planning Officer reviews the OPCR and schedules a meeting of PMT to deliberate it. The PMT reviews the OPCR submitted by units to make sure it is aligned with the university strategic plan and towards attainment of the Major Final Outputs of the university, then recommends approval by the President. The University President finally reviews and approves the OPCR. The College Dean/Directors distributes and assigns tasks needed to attain OPCR targets. The Employee agrees on the task assigned and prepares the IPCR.",The OPCR is reviewed and processed as needed.,ambiguous_language,Manual-derived synthetic example targeting ambiguous_language.,1,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Planning Officer reviews the OPCR and schedules a meeting of PMT to deliberate it. The PMT reviews the OPCR submitted by units to make sure it is aligned with the university strategic plan and towards attainment of the Major Final Outputs of the university, then recommends approval by the President. The University President finally reviews and approves the OPCR. The College Dean/Directors distributes and assigns tasks needed to attain OPCR targets. The Employee agrees on the task assigned and prepares the IPCR.

[REVISED TEXT]
The OPCR is reviewed and processed as needed."
modified,The Income Generating Office posts the Public Bidding Notice to different conspicuous places inside the University for a period of seven calendar days. The Bidder fills up and submits the Bidders Information Sheet. The Income Generating Office gives the Canvas Bid Form. The Bidder fills up the Canvas Bid Form and tenders the bid. The Board of Management/IGO Director opens the Bid at the scheduled opening date and time. The Income Generating Office posts the winners in three conspicuous places in the University premises.,The bidding notice is posted in suitable places for the required period.,ambiguous_language,Manual-derived synthetic example targeting ambiguous_language.,1,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Income Generating Office posts the Public Bidding Notice to different conspicuous places inside the University for a period of seven calendar days. The Bidder fills up and submits the Bidders Information Sheet. The Income Generating Office gives the Canvas Bid Form. The Bidder fills up the Canvas Bid Form and tenders the bid. The Board of Management/IGO Director opens the Bid at the scheduled opening date and time. The Income Generating Office posts the winners in three conspicuous places in the University premises.

[REVISED TEXT]
The bidding notice is posted in suitable places for the required period."
modified,"The Faculty/Personnel prepares a Project Proposal. The IGO Director receives the Project Proposal and submits it to the Board of Management for deliberation. The Board of Management deliberates the submitted proposal according to the financial status and capability to generate income, then submits it to the University President for approval and recommendation. The University President approves the proposal, then submits it to the LNU Board of Regents for approval. The LNU Board of Regents approves or disapproves the Proposal.",The proposal is processed by the concerned offices and approved as appropriate.,ambiguous_language,Manual-derived synthetic example targeting ambiguous_language.,1,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Faculty/Personnel prepares a Project Proposal. The IGO Director receives the Project Proposal and submits it to the Board of Management for deliberation. The Board of Management deliberates the submitted proposal according to the financial status and capability to generate income, then submits it to the University President for approval and recommendation. The University President approves the proposal, then submits it to the LNU Board of Regents for approval. The LNU Board of Regents approves or disapproves the Proposal.

[REVISED TEXT]
The proposal is processed by the concerned offices and approved as appropriate."
modified,"The University President oversees the System operation. The PRAISE Committee establishes internal procedures and strategies for rewards and recognition. The Search Committee/Director, HRM searches, screens and collects a list from each office for deserving employees who qualify for nomination. The Performance Management Team identifies potential PRAISE award nominees for various award categories. The PRAISE Committee determines top performers of the university who qualify for awards and incentives. The University President rewards the deserving employee.",The PRAISE Committee determines awardees.,insufficient_detail,Manual-derived synthetic example targeting insufficient_detail.,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The University President oversees the System operation. The PRAISE Committee establishes internal procedures and strategies for rewards and recognition. The Search Committee/Director, HRM searches, screens and collects a list from each office for deserving employees who qualify for nomination. The Performance Management Team identifies potential PRAISE award nominees for various award categories. The PRAISE Committee determines top performers of the university who qualify for awards and incentives. The University President rewards the deserving employee.

[REVISED TEXT]
The PRAISE Committee determines awardees."
modified,"The appointing authority may promote an employee who is next in rank but who possesses superior qualifications and competence compared to a next in rank employee who merely meets the minimum requirements for the position. Factors for promotion for Non-Teaching Staff include Educational Qualifications, Competence, Personality Traits and Potential, Relevant Experience, Relevant Trainings and Special Skills.",The appointing authority considers qualifications for promotion.,insufficient_detail,Manual-derived synthetic example targeting insufficient_detail.,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The appointing authority may promote an employee who is next in rank but who possesses superior qualifications and competence compared to a next in rank employee who merely meets the minimum requirements for the position. Factors for promotion for Non-Teaching Staff include Educational Qualifications, Competence, Personality Traits and Potential, Relevant Experience, Relevant Trainings and Special Skills.

[REVISED TEXT]
The appointing authority considers qualifications for promotion."
modified,"A portion of the total faculty and staff shall be sent for a scholarship/fellowship every school year except in very rare cases wherein the total number faculty and staff scholars may exceed from what is allowed within a year. In such cases, the University President shall exercise discretion to allow other applicant to go on study leave provided the applicant submit certifications that the degrees to be pursued are direly needed by the university to be issued by the Unit Chair.",Staff may receive scholarship or fellowship subject to conditions.,insufficient_detail,Manual-derived synthetic example targeting insufficient_detail.,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
A portion of the total faculty and staff shall be sent for a scholarship/fellowship every school year except in very rare cases wherein the total number faculty and staff scholars may exceed from what is allowed within a year. In such cases, the University President shall exercise discretion to allow other applicant to go on study leave provided the applicant submit certifications that the degrees to be pursued are direly needed by the university to be issued by the Unit Chair.

[REVISED TEXT]
Staff may receive scholarship or fellowship subject to conditions."
modified,"The Planning Officer reviews the OPCR and schedules a meeting of PMT to deliberate it. The PMT reviews the OPCR submitted by units to make sure it is aligned with the university strategic plan and towards attainment of the Major Final Outputs of the university, then recommends approval by the President. The University President finally reviews and approves the OPCR. The College Dean/Directors distributes and assigns tasks needed to attain OPCR targets. The Employee agrees on the task assigned and prepares the IPCR.",The OPCR is reviewed and approved.,insufficient_detail,Manual-derived synthetic example targeting insufficient_detail.,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Planning Officer reviews the OPCR and schedules a meeting of PMT to deliberate it. The PMT reviews the OPCR submitted by units to make sure it is aligned with the university strategic plan and towards attainment of the Major Final Outputs of the university, then recommends approval by the President. The University President finally reviews and approves the OPCR. The College Dean/Directors distributes and assigns tasks needed to attain OPCR targets. The Employee agrees on the task assigned and prepares the IPCR.

[REVISED TEXT]
The OPCR is reviewed and approved."
