no,id,document,section,section_type,change_reason,changed_lines,units_edited,your_verdict,your_issues,notes
1,FAM_4.02-8956-2886,FAM 4.02,4.5 Sales,Procedures,Revised after the internal audit finding.,"-| Project Worker | 8. Record the Official Receipt on the JOF/PRF. |
-| | 9. Hand over teh purchased items or render the service asked. |
+| Cashier | 8. Record the Official Receipt on the JOF/PRF. |
+| | 9. Hand over the purchased items or render the service asked. |",2,,,
2,FAM_4.01-8939-3806,FAM 4.01,3.0 POLICIES,Policies,Fixed spelling flagged in the last document review.,"-3.22 The Stall Holder shall faithfully comply with the terms adn conditions of the contract. Violation of any provision of this contract will be ground for termination.
+3.22 The Stall Holder shall faithfully comply with the terms and conditions of the contract. Violation of any provision of this contract will be ground for termination.",1,,,
3,FAM_5.01-8969-3338,FAM 5.01,4.2 Recording Obligation,Procedures,Tidied the spacing to match the rest of the manual.,"-| Budget Officer | 1. Receives the approved budget(AB) from the concerned entity official. Records the same in the appropriate Registry of Budget, Utilization and Disbursements (RBUD). |
+| Budget Officer | 1. Receives the approved budget (AB) from the concerned entity official. Records the same in the appropriate Registry of Budget, Utilization and Disbursements (RBUD). |",1,,,
4,SDM_3.03-9119-2661,SDM 3.03,4.0 PROCEDURES,Procedures,Revised after the internal audit finding.,"-| QMSASO Staff | 9. | Disseminate results to all offices concerned |
+| QMSASO Staff | 9. | Disseminate results to any offices concerned |",1,,,
5,HRM_4.02-9065-2051,HRM 4.02,3.0 POLICIES,Policies,Update.,"-3.7 Pursuant to the Section 7.4 of Memorandum Circular (MC) No. 2013-01 of the Inter Agency Task Force on the Harmonization of the National Government Performance Monitoring, Information and Reporting Systems as per Administrative Order No. 25, s. 2011, the CSC approved SPMS of the Leyte Normal University will be used in evaluating office and individual performance.",1,,,
6,FAM_6.02-8989-1081,FAM 6.02,4.4 Accounts Receivable from Employees,Procedures,As discussed.,"+| Accounting Staff-7 | 2. Prepares Summary of all the Promissory Notes received from the employees for the payment of school fees of their children including books, for the payment of their own school fees at the Graduate School, among others. The Summary shall include a column if which particular claim of the employee (e.g. midyear bonus, year-end bonus, CNA Incentive, IGP Incentive, Honoraria, etc.) the said the accountability will be charged or deducted from. |
-| Accounting Staff-7 | 2. Prepares Summary of all the Promissory Notes received from the employees for the payment of school fees of their children including books, for the payment of their own school fees at the Graduate School, among others. The Summary shall include a column if which particular claim of the employee (e.g. midyear bonus, year-end bonus, CNA Incentive, IGP Incentive, Honoraria, etc.) the said the accountability will be charged or deducted from. |",2,,,
7,ASM_3.0-8935-62,ASM 3.0,4.0 PROCEDURE,Procedures,Wrote the name in full so new staff can follow it.,"-| | 9. Once approved by CHED, disseminates curriculum to VPAS, Deans, Program Chair and Registrar. |
+| | 9. Once approved by Commission on Higher Education (CHED), disseminates curriculum to VPAS, Deans, Program Chair and Registrar. |",1,,,
8,FAM_5.01-8966-3187,FAM 5.01,3.0 POLICIES,Policies,Revised following the management review.,"-3.1 It is the declared policy of the State that all resources of the government shall be managed, expended or utilized in accordance with laws and regulations, and safeguarded against loss or wastage through illegal or improper disposition, with a view to ensuring efficiency, economy and effectiveness in the operations of government. The responsibility to take care that such policy is faithfully adhered to rests directly with the chief or head of the government agency concerned. (Sec. 2, P.D. No. 1445)
+3.1 It is the declared policy of the State that any resources of the government shall be managed, expended or utilized in accordance with laws and regulations, and safeguarded against loss or wastage through illegal or improper disposition, with a view to ensuring efficiency, economy and effectiveness in the operations of government. The responsibility to take care that such policy is faithfully adhered to rests directly with the chief or head of the government agency concerned. (Sec. 2, P.D. No. 1445)",1,,,
9,FAM_8.03_-9038-1729,FAM 8.03 ,4.0 PROCEDURES,Procedures,Per instruction.,"-| | 7. Verifies the PR if included in the approved PPMPs. If not included in the PPMP, returns the PR to the end-user for updating or for possible budget allocation certified by the Budget Officer. |
-| End User | 8. Complies with what is necessary. |
-| Supply and Property Officer | 9. Records the PR in the logbook/ have it encoded in computer file. |
-| | 10. Forwards the PR and supporting documents to the University President for appropriate action. |
-| University President | 11. Approves/disapproves the PR and other supporting documents. |
-| University President’s Staff | 12. Forwards the PR to the BAC Secretariat for appropriate action. |
-| BAC Secretariat | 1. Schedules the Pre-Procurement Conference to discuss the project to be bid, Project Requirements to determine the readiness of the project. |
-| BAC Members, TWG, Secretariat | 2. Conduct pre-procurement conference and discuss the details of the project, determines the readiness of the project at hand, and approves the timelines or schedule of bidding activities. |
-| BAC Secretariat | 3. Publishes and posts the Invitation to Bid (IB) at a newspaper in nationwide circulation, PhilGEPS, agency’s website and in three (3) conspicuous places including the school premises. |
-| | 4. Prepares the Notice of Meetings of the bidding activities to Observers including the Head of Agency and BAC members. |
-| | 5. Prepares and sends the complete set of Bidding Documents available to prospective bidders. |
-| Prospective Bidders | 6. Receive Bidding Documents |
-| BAC Secretariat | 7. Prepares the documents needed for the conduct of the Pre- Bid conference. |
-| BAC Members, | 8. Conducts the pre-bid conference |",14,,,
10,SDM_3.06-9124-2711,SDM 3.06,3.0 POLICIES,Policies,Spelled out the abbreviation on first use.,"-3.1 The CGMC shall be issued to students who apply for scholarship, transfer to other higher educational institutions, or apply for work/career development.
+3.1 The Certificate of Good Moral Character (CGMC) shall be issued to students who apply for scholarship, transfer to other higher educational institutions, or apply for work/career development.",1,,,
