no,id,document,section,section_type,change_reason,changed_lines,units_edited,your_verdict,your_issues,notes
1,HRM_4.02-9065-2041,HRM 4.02,3.0 POLICIES,Policies,Update.,"-3.3 The LNU SPMS adheres to the principle of performance-based security of tenure. It provides motivation and basis for incentives to performers and applies sanctions to nonperformers.
+3.3 The LNU SPMS adheres to the principle of performance-based security of tenure.",1,,,
2,SDM_3.02-9113-2577,SDM 3.02,4.0 PROCEDURES,Procedures,Changes requested.,"-| Student | 2. Presents medical certificate to the Vice President for Student Development (VPSD) and accomplishes Permit to Enter the Campus/Attend Classes Form. |
+| Student | 2. Presents medical certificate to the Vice President for Student Development (VPSD) and accomplishes. |",1,,,
3,FAM_8.03_-9037-3430,FAM 8.03 ,3.0 POLICIES,Policies,Corrected a typographical error found during the internal audit.,"-3.4 The agency may undertake the procurement activities of procurement of goods adn services, consulting services, and infrastructure projects even pending approval of the General Appropriations Act (GAA) to facilitate immediate implementation. Award of Contract shall be done upon approval of GAA.
+3.4 The agency may undertake the procurement activities of procurement of goods and services, consulting services, and infrastructure projects even pending approval of the General Appropriations Act (GAA) to facilitate immediate implementation. Award of Contract shall be done upon approval of GAA.",1,,,
4,FAM_5.01-8969-670,FAM 5.01,4.2 Recording Obligation,Procedures,Updated per the latest memorandum from the VPAF.,+| | 17. Reviews the final list of ratings and recommends approval by the University President of the ranking and forced comparison of employees 18. Approves/disapproves the ranking and forced comparison of employees |,1,,,
5,FAM_6.04-9009-1249,FAM 6.04,3.0 POLICIES,Policies,Fixed spelling flagged in the last document review.,"-| 11 | Cash in Bank, Local Currency, Current Account | Leyte Normal University | 0000-0000-00 | Development Bank of teh Philippines, Tacloban City |
+| 11 | Cash in Bank, Local Currency, Current Account | Leyte Normal University | 0000-0000-00 | Development Bank of the Philippines, Tacloban City |",1,,,
6,SDM_3.01-9102-2467,SDM 3.01,3.5 Very Serious Offenses,Policies,Aligned with current office practice.,"-3.5.1.14.3 Knowingly using said tampered and falsified documnets.
+3.5.1.14.3 Knowingly using said tampered and falsified documents.
-3.7 The PHC shall be composed of the VPSD, the Supreme Student Council (SSC) Adviser, the Guidance Counselor, and the SSC President.
+3.7 The PHC may be composed of the VPSD, the Supreme Student Council (SSC) Adviser, the Guidance Counselor, and the SSC President.",2,,,
7,HRM_4.04-9092-3206,HRM 4.04,4.1 Selection of Awardees,Procedures,Update.,"-| Search Committee/ Director,HRM | 3. Searches, screens and collects a list from each office for deserving employees who qualify for nomination |
-| Performance Management Team (PMT) | 4. Identifies potential PRAISE awards nominees for various awards categories based from the collected list |
-| PRAISE Committee | 5. Determines top performers of the university who qualify for awards and incentives |
-| University President | 6. Rewards the deserving employee |",4,,,
8,FAM_6.02-8987-956,FAM 6.02,3.0 POLICIES,Policies,Made the reference format consistent with the other manuals.,"-3.2 Any request for information shall be governed by Executive Order No. 02, series of 2016 or the Freedom of Information.
+3.2 Any request for information shall be governed by E.O. No. 02, series of 2016 or the Freedom of Information.",1,,,
9,HRM_4.04-9088-2240,HRM 4.04,1.0 OBJECTIVES,Objectives,Fixed spelling flagged in the last document review.,"-1.4 To provide incentives adn interventions to motivate employees who have contributed ideas, suggestions, inventions, discoveries, superior accomplishments and other personal efforts
+1.4 To provide incentives and interventions to motivate employees who have contributed ideas, suggestions, inventions, discoveries, superior accomplishments and other personal efforts",1,,,
10,FAM_6.02-8990-1109,FAM 6.02,4.5 Accounts Receivable from Other Debtors,Procedures,Updated per the latest memorandum from the VPAF.,"-| Records Management Staff | 6. Sends the Demand Letters to the debtors through a courier if necessary. |
+| Accountant | 6. Sends the Demand Letters to the debtors through a courier if necessary. |",1,,,
11,FAM_5.01-8966-576,FAM 5.01,3.0 POLICIES,Policies,Fixed spelling flagged in the last document review.,"-3.1 It is teh declared policy of the State that all resources of the government shall be managed, expended or utilized in accordance with laws and regulations, and safeguarded against loss or wastage through illegal or improper disposition, with a view to ensuring efficiency, economy and effectiveness in the operations of government. The responsibility to take care that such policy is faithfully adhered to rests directly with the chief or head of the government agency concerned. (Sec. 2, P.D. No. 1445)
+3.1 It is the declared policy of the State that all resources of the government shall be managed, expended or utilized in accordance with laws and regulations, and safeguarded against loss or wastage through illegal or improper disposition, with a view to ensuring efficiency, economy and effectiveness in the operations of government. The responsibility to take care that such policy is faithfully adhered to rests directly with the chief or head of the government agency concerned. (Sec. 2, P.D. No. 1445)",1,,,
12,HRM_4.02-9067-2084,HRM 4.02,3.14 Daily Record of Attendance,Policies,Revised following the management review.,+3.13 The LNU-IGO may unilaterally terminate the contract and inform the Stall Holders at least thirty (30) days prior in the event of necessary infrastructure development in the area.,1,,,
13,FAM_6.01-8976-847,FAM 6.01,4.4 Releasing of Statement of Account (SOA),Procedures,Revised following the management review.,+| End User | 8. Complies with what is necessary. |,1,,,
14,SDM_3.01-9103-2506,SDM 3.01,4.0 PROCEDURES,Procedures,Changes requested.,"-| Preliminary Hearing Committee (PHC) | 4. Determines if such a complaint or report is sufficient to warrant a formal investigation. In cases where the complaint or report is found sufficient, formal charges shall be filed and served upon the respondent and his/her parent or guardian. |
+| Preliminary Hearing Committee (PHC) | 4. Determines if such a complaint or report is sufficient to warrant a formal investigation. In cases where the complaint or report is found sufficient, formal charges shall not be filed and served upon the respondent and his/her parent or guardian. |",1,,,
15,FAM_4.02-8953-396,FAM 4.02,4.2 Implementation of the Project,Procedures,"Split a crowded step into two lines, for readability.","-| Income Generating Office Staff | 2. Receives items from the Supply and Management Staff. Ensures the timely and adequate purchase of supplies, materials and office equipment. |
+| Income Generating Office Staff | 2. Receives items from the Supply and Management Staff. |
+| | Ensures the timely and adequate purchase of supplies, materials and office equipment. |",2,,,
16,SDM_3.01-9098-3207,SDM 3.01,3.1 Light Offenses,Policies,Changes requested.,"-3.1.9 Entering a class or breaking into school function without the permission of those concerned;
-3.1.10 Staying in campus beyond the authorized time;
-3.1.11 Unauthorized distribution or posting within school premises of leaflets, handbills or other printed materials whose authorship is not clearly stated therein;
-3.1.12 Texting and use of cellular phones for non-instructional purposes during classes or lectures;
-3.1.13 Attending seminars/webinars, lectures, and teach-ins or any similar cases bringing the name of the University, without due notice to their respective deans/advisers, without approval by the VPSD, VPAS and the President of the university;
-3.1.14 Sharing of unauthorized announcement;
-3.1.15 Taking out/Posting of announcements without permit;
-3.1.16 Improper use of toilet and other university facilities; and
-3.1.17 Such other acts as may herein be determined from time to time by the Disciplinary Committee",9,,,
17,HRM_4.03-9083-2182,HRM 4.03,4.0 PROCEDURES,Procedures,Updated per the latest memorandum from the VPAF.,"-| Board and University Secretary | 8. Prepares the scholarship contract |
+| Board of Regents | 8. Prepares the scholarship contract |",1,,,
18,FAM_4.02-8954-2875,FAM 4.02,4.3 Procurement Plan,Procedures,Updated to reflect the new collection schedule.,"-| IGO Director | 3. | Submits the recommended PPMP of the different IGO Staff/ IGP Managers to the BOM for aproval before the deadline. |
-| Board of Management | 4. | Reviews and approves the PPMP. If they require revisions, returns the PPMP back to the IGO Staff. If approved, returns approved PPMP to IGO Director, step 6. |
+| IGO Director | 3. | Submits the recommended PPMP of the different IGO Staff/ IGP Managers to the BOM for approval before the deadline. |
+| IGO Director | 4. | Reviews and approves the PPMP. If they require revisions, returns the PPMP back to the IGO Staff. If approved, returns approved PPMP to IGO Director, step 6. |",2,,,
19,SDM_3.03-9118-2624,SDM 3.03,3.0 POLICIES,Policies,Updated to match how the office actually works.,"-3.4. Results of the survey shall be submitted to the QMSAS Office and will be disseminated to all offices concerned after it is presented in the Management Review meeting.
+3.4. Results of the survey shall be submitted to the QMSAS Office and may be disseminated to all offices concerned after it is presented in the Management Review meeting.",1,,,
20,FAM_6.01-8973-693,FAM 6.01,2.0 SCOPE,Scope,Changes requested.,"-2.1.7 Signing of Application for Student Records.
+2.1.7 Signing of records.",1,,,
