record_id,manual_id,section_id,section_number,section_title,section_type,change_type,original_text,revised_text,issue_tags,reviewer_summary,label
REV-FAM401-001,FAM-4.01,FAM401-SEC-1.0,1.1-1.2,Objectives,Working Instruction,modified,1.1 To provide guidelines and policies in handling concessionaires for business at the LNU-IGO Trade Park. 1.2 To ensure and sustain the existing income generating projects of the university while providing affordable goods and services to the universityâ€™s customers and stakeholders.,"1.1 To establish guidelines for the transparent and consistent handling of concessionaires operating at the LNU-IGO Trade Park. 1.2 To support sustainable university income-generating activities while ensuring that concessionaires provide accessible, affordable, and quality goods and services to customers and stakeholders.",,"The proposed wording preserves the two original objectives and improves clarity by stating the intended manner of handling, the operating context, and the expected service outcome.",Appropriate
REV-FAM401-002,FAM-4.01,FAM401-SEC-1.0,1.3,Objectives,Working Instruction,added,1.1 To provide guidelines and policies in handling concessionaires for business at the LNUIGO Trade Park.  1.2 To ensure and sustain the existing income generating projects of the university while providing affordable goods and services to the university’s customers and stakeholders.,1.1 To provide guidelines and policies in handling concessionaires for business at the LNUIGO Trade Park. 1.2 To ensure and sustain the existing income generating projects of the university while providing affordable goods and services to the university’s customers and stakeholders. 1.3 To create a asdasdafasfgasgagh,ambiguous_language|irrelevant_content|insufficient_detail,"The added objective is not intelligible and does not state a clear, relevant outcome for the manual.",Needs Revision
REV-FAM401-003,FAM-4.01,FAM401-SEC-2.0,2,Scope,Procedure,modified,This procedure covers and applies the entire agreement between LNU-IGO and STALL HOLDER as stipulated below.,This procedure covers and applies the entire agreement between LNU-IGO and STALL HOLDER and SECURITY GUARDS as stipulated below.,unclear_scope|missing_responsibility|insufficient_detail,"The revision adds Security Guards to the scope but does not define their role, authority, responsibility, or relationship to the concessionaire agreement.",Needs Revision
REV-FAM401-004,FAM-4.01,FAM401-SEC-1.0,1.3,Objectives,Working Instruction,added,1.1 To provide guidelines and policies in handling concessionaires for business at the LNU-IGO Trade Park. 1.2 To ensure and sustain the existing income generating projects of the university while providing affordable goods and services to the university's customers and stakeholders.,1.1 To provide guidelines and policies in handling concessionaires for business at the LNU-IGO Trade Park. 1.2 To ensure and sustain the existing income generating projects of the university while providing affordable goods and services to the university's customers and stakeholders. 1.3 To promote transparent and accountable processes for the selection and management of concessionaires at the LNU-IGO Trade Park.,,The added objective is relevant to concessionaire management and clearly states an intended outcome that supports the manual's existing purpose.,Appropriate
REV-FAM401-005,FAM-4.01,FAM401-SEC-2.0,2,Scope,Procedure,modified,This procedure covers and applies the entire agreement between LNU-IGO and STALL HOLDER as stipulated below.,"This procedure applies to the bidding, awarding, occupancy, payment, operational obligations, and termination provisions governing agreements between the LNU-IGO and Stall Holders at the IGO Trade Park.",,The revision clarifies the activities covered by the procedure while retaining the original relationship between the LNU-IGO and Stall Holders.,Appropriate
REV-FAM401-006,FAM-4.01,FAM401-SEC-3.0,3.1-3.6,Policies,Procedure,modified,3.1 The LNU-IGO will open for bidding on all vacant stalls. 3.2 Only one bid quotation submission is allowed per interested bidder during bidding for stalls in the IGO Trade Park; husband and wife are considered one bidding entity. 3.3 The qualified winning bidder will be called a Stall Holder. 3.4 The LNU-IGO will permit the Stall Holder to use a stall in the IGO Trade Park. 3.5 The Stall Holder shall provide affordable goods and services to interested clientele in the University. 3.6 The Stall Holder may use the space only during the contract period.,3.1 The LNU-IGO shall make vacant stalls available through a documented public-bidding process. 3.2 Each eligible bidder may submit one bid quotation for a vacant stall; spouses shall be treated as one bidding entity. 3.3 A qualified winning bidder shall be designated as the Stall Holder upon completion of the award process. 3.4 The LNU-IGO shall authorize the Stall Holder to use the assigned stall only for the approved contract period. 3.5 The Stall Holder shall offer affordable goods and services to the University community in accordance with the approved contract.,,"The revision preserves the bidding, award, authorization, contract-period, and service requirements while making the policy wording more specific and organized.",Appropriate
REV-FAM401-007,FAM-4.01,FAM401-SEC-3.0,3.1-3.6,Policies,Procedure,removed,3.1 The LNU-IGO will open for bidding on all vacant stalls. 3.2 Only one bid quotation submission is allowed per interested bidder during bidding for stalls in the IGO Trade Park; husband and wife are considered one bidding entity. 3.3 The qualified winning bidder will be called a Stall Holder. 3.4 The LNU-IGO will permit the Stall Holder to use a stall in the IGO Trade Park. 3.5 The Stall Holder shall provide affordable goods and services to interested clientele in the University. 3.6 The Stall Holder may use the space only during the contract period.,3.1 The LNU-IGO will open for bidding on all vacant stalls. 3.3 The qualified winning bidder will be called a Stall Holder. 3.5 The Stall Holder shall provide affordable goods and services to interested clientele in the University.,missing_traceability|missing_responsibility|insufficient_detail,"The revision removes the one-bid rule, bidder eligibility condition, authorization to use the stall, and contract-period limitation without providing replacement controls.",Needs Revision
REV-FAM401-008,FAM-4.01,FAM401-SEC-3.0,3.7-3.9,Policies,Procedure,modified,"3.7 The Stall Holder shall pay monthly rental through the University Cashier on or before the last day of every month. 3.8 The Stall Holder shall pay power consumption and the stated water charge within three working days after receipt of the bill. 3.9 If payment is overdue, the LNU-IGO will issue three notices at one-week intervals. Failure to settle the outstanding balance within seven days after the third notice may result in termination, repossession of the stall, and public bidding.","The Stall Holder shall pay monthly rental through the University Cashier on or before the last day of each month and shall settle billed electricity and water charges within three working days after receiving the billing statement. The Income Generating Office shall document overdue accounts and issue three written notices at one-week intervals. If the outstanding balance remains unpaid seven calendar days after the third notice, the LNU-IGO may initiate contract-termination and stall-recovery procedures subject to the applicable agreement.",,"The revision retains the responsible party, payment deadlines, escalation sequence, and possible consequence while improving clarity and making overdue-account documentation explicit.",Appropriate
REV-FAM401-009,FAM-4.01,FAM401-SEC-3.0,3.7-3.9,Policies,Procedure,modified,"3.7 The Stall Holder shall pay monthly rental through the University Cashier on or before the last day of every month. 3.8 The Stall Holder shall pay power consumption and the stated water charge within three working days after receipt of the bill. 3.9 If payment is overdue, the LNU-IGO will issue three notices at one-week intervals. Failure to settle the outstanding balance within seven days after the third notice may result in termination, repossession of the stall, and public bidding.",The Stall Holder should pay bills promptly. Unpaid bills may be acted upon by the office.,ambiguous_language|missing_responsibility|missing_traceability|insufficient_detail,"The revision removes payment deadlines, payment channels, notice intervals, the specific responsible office action, and the documented sequence for addressing overdue accounts.",Needs Revision
REV-FAM401-010,FAM-4.01,FAM401-SEC-3.0,3.14,Policies,Procedure,reordered,"The Stall Holder shall not install, affix, or construct permanent fixtures in their respective spaces. When improvement or modification is necessary to maintain the brand or insignia of the product, the Stall Holder may secure the consent of the LNU-IGO Management. Installation and construction shall be shouldered by the Stall Holder. Upon termination or end of the contract, the Stall Holder shall restore the leased premises to its original state.","The Stall Holder shall restore the leased premises to its original state upon termination or end of the contract. The Stall Holder shall not install, affix, or construct permanent fixtures in their respective spaces. When improvement or modification is necessary to maintain the brand or insignia of the product, the Stall Holder shall first secure the consent of the LNU-IGO Management. Any approved installation or construction shall be shouldered by the Stall Holder.",,"The revision changes the presentation order but retains the prohibition, approval requirement, cost responsibility, and restoration obligation. The sequence remains understandable.",Appropriate
