change_type,original_text,revised_text,issue_tags,reviewer_summary,label,assessment_label_id,issue_multihot,model_input
modified,"Faculty or Personnel prepares a Project Proposal. The IGO Director receives the proposal and submits it to the Board of Management for deliberation. The Board of Management deliberates the proposal according to financial status and income-generating capability, then submits a finalized proposal to the University President for approval and recommendation. The University President approves the proposal and submits it to the LNU Board of Regents for approval. The LNU Board of Regents approves or disapproves the proposal.","1. Faculty or Personnel shall prepare and submit a Project Proposal containing the information required for financial and feasibility evaluation. 2. The IGO Director shall receive the proposal, check it for completeness, and submit it to the Board of Management for deliberation. 3. The Board of Management shall evaluate the proposal based on financial status and income-generating capability and document its recommendation. 4. A finalized proposal shall be submitted to the University President for approval and recommendation. 5. The University President shall endorse the approved proposal to the LNU Board of Regents. 6. The LNU Board of Regents shall issue the final approval or disapproval decision before project implementation.",,"The revision preserves the original role assignments and approval path while clarifying handoffs, decision criteria, documented recommendations, and the final decision before implementation.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Faculty or Personnel prepares a Project Proposal. The IGO Director receives the proposal and submits it to the Board of Management for deliberation. The Board of Management deliberates the proposal according to financial status and income-generating capability, then submits a finalized proposal to the University President for approval and recommendation. The University President approves the proposal and submits it to the LNU Board of Regents for approval. The LNU Board of Regents approves or disapproves the proposal.

[REVISED TEXT]
1. Faculty or Personnel shall prepare and submit a Project Proposal containing the information required for financial and feasibility evaluation. 2. The IGO Director shall receive the proposal, check it for completeness, and submit it to the Board of Management for deliberation. 3. The Board of Management shall evaluate the proposal based on financial status and income-generating capability and document its recommendation. 4. A finalized proposal shall be submitted to the University President for approval and recommendation. 5. The University President shall endorse the approved proposal to the LNU Board of Regents. 6. The LNU Board of Regents shall issue the final approval or disapproval decision before project implementation."
modified,This procedure applies to all academic and non-academic staff who have item positions in the University.,"This procedure applies to academic and non-academic University personnel with item positions who are eligible for learning and development interventions, including scholarships, fellowships, research assistance, training, and related grants.",,The revision retains the intended coverage and clarifies the learning and development interventions governed by the procedure.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
This procedure applies to all academic and non-academic staff who have item positions in the University.

[REVISED TEXT]
This procedure applies to academic and non-academic University personnel with item positions who are eligible for learning and development interventions, including scholarships, fellowships, research assistance, training, and related grants."
modified,5.1 FORM SLRD 2016 KRA 4.3b for relevant training hours or conferences attended by faculty and staff in the last three years. 5.2 Five year Development Plan. 5.3 Scholarship Contract.,"The following controlled forms shall be used, as applicable, for learning and development activities: 5.1 FORM SLRD 2016 KRA 4.3b for relevant training hours or conferences attended by faculty and staff in the last three years; 5.2 Five year Development Plan; and 5.3 Scholarship Contract. Responsible personnel shall use current approved versions and retain completed forms with the related learning and development records.",,The revision retains the forms list and adds appropriate controls for current approved versions and retention of related records.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
5.1 FORM SLRD 2016 KRA 4.3b for relevant training hours or conferences attended by faculty and staff in the last three years. 5.2 Five year Development Plan. 5.3 Scholarship Contract.

[REVISED TEXT]
The following controlled forms shall be used, as applicable, for learning and development activities: 5.1 FORM SLRD 2016 KRA 4.3b for relevant training hours or conferences attended by faculty and staff in the last three years; 5.2 Five year Development Plan; and 5.3 Scholarship Contract. Responsible personnel shall use current approved versions and retain completed forms with the related learning and development records."
reordered,VPs and Program Heads conduct planning sessions. The Planning Officer reviews OPCR and schedules PMT deliberation. PMT reviews OPCR alignment with the strategic plan and MFOs and recommends approval. The University President approves OPCR. College Deans or Directors assign tasks. Employees prepare IPCRs. College Deans or Office Chiefs sign and forward IPCRs. The Planning Officer consolidates IPCRs and forwards them to the President for approval. The President signs IPCRs and the Director HRM receives approved IPCRs.,1. Employees shall prepare IPCRs. 2. The University President shall approve the IPCRs. 3. College Deans or Directors shall assign tasks. 4. The PMT shall review OPCR alignment. 5. VPs and Program Heads shall conduct planning sessions.,illogical_sequence|missing_approval_step|missing_record_or_evidence|missing_responsibility,"The revision prepares and approves IPCRs before planning sessions, OPCR review and approval, and task assignment. It also omits the Planning Officer consolidation and Director HRM receipt of approved IPCRs.",Needs Revision,1,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
VPs and Program Heads conduct planning sessions. The Planning Officer reviews OPCR and schedules PMT deliberation. PMT reviews OPCR alignment with the strategic plan and MFOs and recommends approval. The University President approves OPCR. College Deans or Directors assign tasks. Employees prepare IPCRs. College Deans or Office Chiefs sign and forward IPCRs. The Planning Officer consolidates IPCRs and forwards them to the President for approval. The President signs IPCRs and the Director HRM receives approved IPCRs.

[REVISED TEXT]
1. Employees shall prepare IPCRs. 2. The University President shall approve the IPCRs. 3. College Deans or Directors shall assign tasks. 4. The PMT shall review OPCR alignment. 5. VPs and Program Heads shall conduct planning sessions."
added,"A reporting person issues a Disciplinary Action Slip, submits a Disciplinary Referral Slip to the VPSD, and OSD Staff records the case. The PHC determines whether formal investigation is warranted; when sufficient, formal charges are served on the respondent and parent or guardian. The respondent may answer in writing within ten calendar days. The Chair of the SDC notifies the student and parent or guardian of the hearing. The SDC renders a decision by majority vote within fifteen days after receiving the complaint. The student may appeal through the applicable review route.","A reporting person issues a Disciplinary Action Slip, submits a Disciplinary Referral Slip to the VPSD, and OSD Staff records the case. The PHC determines whether formal investigation is warranted; when sufficient, formal charges are served on the respondent and parent or guardian. The respondent may answer in writing within ten calendar days. The Chair of the SDC notifies the student and parent or guardian of the hearing. The SDC renders a decision by majority vote within fifteen days after receiving the complaint. The student may appeal through the applicable review route. The Office of the VPSD shall retain the referral, notices, written response when submitted, hearing record, decision, and appeal record in the authorized case file.",,The added record-retention requirement strengthens traceability of procedural actions while preserving the existing human-reviewed process.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
added

[ORIGINAL TEXT]
A reporting person issues a Disciplinary Action Slip, submits a Disciplinary Referral Slip to the VPSD, and OSD Staff records the case. The PHC determines whether formal investigation is warranted; when sufficient, formal charges are served on the respondent and parent or guardian. The respondent may answer in writing within ten calendar days. The Chair of the SDC notifies the student and parent or guardian of the hearing. The SDC renders a decision by majority vote within fifteen days after receiving the complaint. The student may appeal through the applicable review route.

[REVISED TEXT]
A reporting person issues a Disciplinary Action Slip, submits a Disciplinary Referral Slip to the VPSD, and OSD Staff records the case. The PHC determines whether formal investigation is warranted; when sufficient, formal charges are served on the respondent and parent or guardian. The respondent may answer in writing within ten calendar days. The Chair of the SDC notifies the student and parent or guardian of the hearing. The SDC renders a decision by majority vote within fifteen days after receiving the complaint. The student may appeal through the applicable review route. The Office of the VPSD shall retain the referral, notices, written response when submitted, hearing record, decision, and appeal record in the authorized case file."
removed,"Accounting Staff-3 gathers Supporting Documents to initiate payment claims and forwards them to the Budget Office. The Budget Officer receives the Supporting Documents, verifies availability of allotment based on the RAOD, prepares the Obligation Request and Status in two copies, assigns an ORS or BURS number when allotment is available, records the obligation in the RAOD, reviews and certifies the ORS, forwards the ORS and Supporting Documents to the Accounting Office, and retains the original ORS for monitoring. Accounting Staff-3 checks completeness of the documents and prepares a Disbursement Voucher when complete.",The Budget Officer prepares the ORS and forwards it for payment processing.,missing_record_or_evidence|missing_traceability|missing_responsibility|insufficient_detail,"The revision removes the Supporting Documents, RAOD availability verification, return of unavailable claims, control-number assignment, obligation recording, certification, original-ORS retention, and Accounting Staff completeness check.",Needs Revision,1,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
Accounting Staff-3 gathers Supporting Documents to initiate payment claims and forwards them to the Budget Office. The Budget Officer receives the Supporting Documents, verifies availability of allotment based on the RAOD, prepares the Obligation Request and Status in two copies, assigns an ORS or BURS number when allotment is available, records the obligation in the RAOD, reviews and certifies the ORS, forwards the ORS and Supporting Documents to the Accounting Office, and retains the original ORS for monitoring. Accounting Staff-3 checks completeness of the documents and prepares a Disbursement Voucher when complete.

[REVISED TEXT]
The Budget Officer prepares the ORS and forwards it for payment processing."
reordered,Employees submit Promissory Notes to the Accounting Office. Accounting Staff-7 prepares a Summary of Promissory Notes that identifies the employee accountabilities and the particular employee claim from which each amount will be charged or deducted. Accounting Staff-7 furnishes the Payroll Preparer with the Summary. Accounting Staff-2 effects the deduction in the payroll.,1. Accounting Staff-2 shall deduct amounts from employee payroll. 2. Accounting Staff-7 shall prepare a Summary. 3. Employees shall submit Promissory Notes. 4. The Payroll Preparer shall receive the Summary.,illogical_sequence|missing_record_or_evidence|missing_traceability,The revision deducts amounts before employees submit Promissory Notes and before the accountable amount and authorized deduction source are summarized and provided to the Payroll Preparer.,Needs Revision,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
Employees submit Promissory Notes to the Accounting Office. Accounting Staff-7 prepares a Summary of Promissory Notes that identifies the employee accountabilities and the particular employee claim from which each amount will be charged or deducted. Accounting Staff-7 furnishes the Payroll Preparer with the Summary. Accounting Staff-2 effects the deduction in the payroll.

[REVISED TEXT]
1. Accounting Staff-2 shall deduct amounts from employee payroll. 2. Accounting Staff-7 shall prepare a Summary. 3. Employees shall submit Promissory Notes. 4. The Payroll Preparer shall receive the Summary."
removed,5.1 External Provider Performance Evaluation Form.,Use an evaluation form when needed.,ambiguous_language|missing_record_or_evidence|missing_traceability|insufficient_detail,"The revision does not identify the required External Provider Performance Evaluation Form, who uses it, or how the completed evaluation record is controlled.",Needs Revision,1,"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
5.1 External Provider Performance Evaluation Form.

[REVISED TEXT]
Use an evaluation form when needed."
modified,3.1 Records containing personal information shall be handled in accordance with the Data Privacy Act of 2012. 3.2 Requests for information shall be governed by the Freedom of Information policy. 3.3 Accounts Receivable should be collected in a timely manner.,"3.1 Accounts-receivable records containing personal information shall be accessed, stored, disclosed, and retained in accordance with applicable data-privacy requirements and authorized University procedures. 3.2 Information requests shall be processed under the applicable Freedom of Information policy, subject to lawful restrictions on protected information. 3.3 Responsible offices shall monitor and pursue collection of accounts receivable within the applicable collection timeframe.",,"The revision retains privacy, information-request, and timely-collection requirements while making the account-receivable context and responsible action clearer.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
3.1 Records containing personal information shall be handled in accordance with the Data Privacy Act of 2012. 3.2 Requests for information shall be governed by the Freedom of Information policy. 3.3 Accounts Receivable should be collected in a timely manner.

[REVISED TEXT]
3.1 Accounts-receivable records containing personal information shall be accessed, stored, disclosed, and retained in accordance with applicable data-privacy requirements and authorized University procedures. 3.2 Information requests shall be processed under the applicable Freedom of Information policy, subject to lawful restrictions on protected information. 3.3 Responsible offices shall monitor and pursue collection of accounts receivable within the applicable collection timeframe."
modified,"The College Dean determines faculty who need seminar or training and recommends them in writing to the VPAS. The VPAS recommends approval to the University President. The University President approves and issues a travel order. Faculty or Staff attends the seminar or training and submits a narrative report, Certificate of Appearance, original boarding pass, and transportation receipts for attachment to the Liquidation Report.","1. The College Dean shall identify faculty members whose development needs require seminar or training participation and submit a written recommendation to the VPAS. 2. The VPAS shall recommend approval to the University President. 3. The University President shall approve participation and issue the required travel order. 4. The Faculty or Staff member shall attend the approved activity and submit a narrative report, Certificate of Appearance, and applicable travel and transportation evidence for attachment to the Liquidation Report.",,"The revision retains the development-need identification, written recommendation, approval, travel order, attendance, narrative report, and supporting-evidence requirements.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The College Dean determines faculty who need seminar or training and recommends them in writing to the VPAS. The VPAS recommends approval to the University President. The University President approves and issues a travel order. Faculty or Staff attends the seminar or training and submits a narrative report, Certificate of Appearance, original boarding pass, and transportation receipts for attachment to the Liquidation Report.

[REVISED TEXT]
1. The College Dean shall identify faculty members whose development needs require seminar or training participation and submit a written recommendation to the VPAS. 2. The VPAS shall recommend approval to the University President. 3. The University President shall approve participation and issue the required travel order. 4. The Faculty or Staff member shall attend the approved activity and submit a narrative report, Certificate of Appearance, and applicable travel and transportation evidence for attachment to the Liquidation Report."
